"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"174","2021-10-18","12:53:27","21h:56m","OZ1BUR","-22","FT8","20m","14.0742","Denmark","OZ","JO46HI48","6799"
"134","2021-10-18","13:24:32","21h:25m","JA7HRF","-19","FT8","20m","14.0742","Japan","JA","QM09NF80","6782"
"153","2021-10-18","13:05:30","21h:44m","F5PAC","-15","FT8","20m","14.0742","France","F","JN37OT84","6776"
"111","2021-10-18","13:51:29","20h:58m","F6DHD","-14","FT8","20m","14.0743","France","F","JN38QS","6772"
"130","2021-10-18","13:27:27","21h:22m","OZ1GHK","-14","FT8","20m","14.0743","Denmark","OZ","JO45JD","6765"
"163","2021-10-18","13:01:29","21h:48m","JA7QVI","-17","FT8","20m","14.0742","Japan","JA","QM08KA","6763"
"217","2021-10-18","11:50:26","22h:59m","JH1DMS","-9","FT8","20m","14.0742","Japan","JA","QM06FJ","6732"
"169","2021-10-18","12:55:26","21h:54m","JH7WNV","-13","FT8","20m","14.0742","Japan","JA","QM07FO","6728"
"166","2021-10-18","12:59:29","21h:50m","JJ7LUO","-7","FT8","20m","14.0742","Japan","JA","QM09FC","6725"
"90","2021-10-18","14:23:30","20h:26m","OZ3K","-15","FT8","20m","14.0743","Denmark","OZ","JO45TL21","6720"
"133","2021-10-18","13:25:29","21h:24m","JJ1TKN","-19","FT8","20m","14.0742","Japan","JA","QM06DE18QC","6718"
"219","2021-10-18","11:47:30","23h:02m","JH7BKN","-18","FT8","20m","14.0742","Japan","JA","QN00ER","6718"
"160","2021-10-18","13:03:27","21h:46m","JA7HRM","-8","FT8","20m","14.0742","Japan","JA","QM08DF","6712"
"168","2021-10-18","12:57:29","21h:52m","JS1MRA","-17","FT8","20m","14.0742","Japan","JA","QM05BR","6705"
"185","2021-10-18","12:35:29","22h:14m","JI1MUT","-15","FT8","20m","14.0742","Japan","JA","PM95XT","6689"
"129","2021-10-18","13:30:30","21h:19m","DF4WC","-18","FT8","20m","14.0743","Germany","DL","JN49KV01","6677"
"176","2021-10-18","12:51:29","21h:58m","JK1CEK","-18","FT8","20m","14.0743","Japan","JA","PM95UO96","6667"
"177","2021-10-18","12:51:29","21h:58m","JL1UXH","-19","FT8","20m","14.0742","Japan","JA","PM95UO86","6667"
"172","2021-10-18","12:53:30","21h:56m","JL1XMN","-17","FT8","20m","14.0742","Japan","JA","PM96UA","6666"
"147","2021-10-18","13:16:26","21h:33m","JL1JVT","-10","FT8","20m","14.0742","Japan","JA","PM96UD","6665"
"143","2021-10-18","13:17:30","21h:32m","JA1FON","-15","FT8","20m","14.0742","Japan","JA","PM95TQ26CS","6660"
"145","2021-10-18","13:17:29","21h:32m","JA1GLM","-16","FT8","20m","14.0743","Japan","JA","PM95TP","6660"
"165","2021-10-18","13:00:27","21h:49m","JK1PIU","-16","FT8","20m","14.0743","Japan","JA","PM95SK","6653"
"94","2021-10-18","14:16:31","20h:33m","JM1SZY","-20","FT8","20m","14.0742","Japan","JA","PM95SO31LE","6652"
